Дата поста (UTC),Время поста,Количество лайков
2023-10-29,17:24:21,41
2023-10-29,09:57:08,24
2023-10-22,19:28:47,36
2023-10-21,17:25:46,35
2023-10-21,08:25:49,24
2023-10-20,06:00:00,13
2023-10-18,10:03:33,95
2023-10-17,16:28:38,27
2023-10-16,14:11:13,12
2023-10-15,14:45:16,81
2023-10-13,07:00:01,20
2023-10-09,10:28:31,42
2023-10-08,18:49:39,18
2023-10-05,19:22:04,47
2023-10-03,09:56:11,9
2023-10-01,18:12:52,39
2023-09-30,15:30:23,17
2023-09-28,10:34:44,18
2023-09-27,07:35:58,36
2023-09-26,16:19:01,103
2023-09-24,17:50:24,15
2023-09-19,08:41:12,46
2023-09-17,19:00:58,91
2023-09-15,11:17:00,59
2023-09-15,07:22:00,35
2023-09-14,16:08:05,16
2023-09-14,06:59:00,69
2023-09-13,06:52:37,63
2023-09-12,10:56:19,41
2023-09-10,16:18:25,34
2023-09-07,04:20:44,94
2023-09-05,10:14:08,59
2023-09-03,17:07:36,62
2023-09-02,16:05:13,4
2023-08-30,11:50:31,72
2023-08-29,13:36:17,15
2023-08-28,10:18:49,67
2023-08-27,17:05:59,43
2023-08-27,08:29:38,39
2023-08-24,06:41:28,69
2023-08-22,16:34:05,62
2023-08-20,16:01:03,61
2023-08-18,19:08:04,2
2023-08-13,14:53:10,60
2023-08-11,08:15:00,60
2023-08-10,14:00:59,88
2023-08-09,14:50:07,52
2023-08-06,15:03:47,49
2023-08-05,11:33:28,54
2023-08-01,12:52:17,6
2023-07-30,17:49:37,69
2023-07-29,09:41:03,30
2023-07-28,11:17:25,47
2023-07-27,10:50:43,88
2023-07-24,09:05:18,14
2023-07-22,16:31:52,10
2023-07-19,14:46:57,13
2023-07-14,15:04:30,56
2023-07-12,09:01:57,64
2023-07-07,08:15:33,76
2023-07-05,07:41:19,18
2023-07-03,07:06:13,72
2023-07-02,05:35:35,12
2023-06-27,15:59:05,11
2023-06-23,06:45:04,62
2023-06-22,14:34:25,7
2023-06-21,17:20:21,12
2023-06-19,19:44:55,14
2023-06-18,16:08:56,78
2023-06-16,17:58:18,73
2023-06-12,13:46:14,3
2023-06-07,08:28:19,16
2023-06-05,09:00:01,9
2023-05-31,09:34:18,17
2023-05-26,08:17:44,13
2023-05-24,08:47:20,14
2023-05-16,05:41:40,17
2023-05-09,07:37:51,37
2023-05-07,12:04:38,40
2023-04-30,10:22:44,18
2023-04-27,06:16:25,14
2023-04-25,06:43:57,4
2023-04-22,16:10:23,11
2023-04-22,15:06:02,6
2023-04-18,05:00:00,3
2023-04-12,05:00:00,6
2023-04-10,08:02:48,16
2023-04-06,13:37:59,19
2023-03-26,17:19:40,59
2023-03-06,14:55:11,114
2023-03-05,17:54:32,51
2023-02-28,22:00:00,22
2023-02-26,17:55:28,12
2023-02-25,18:51:38,8
2023-02-22,17:30:00,30
2023-02-20,08:52:12,34
2023-02-16,16:51:54,50
2023-02-16,07:43:48,8
2023-02-15,15:03:10,61
2023-02-15,13:42:33,5
2023-02-14,04:58:00,92
2023-02-04,08:11:28,61
2023-01-31,14:16:28,105
2023-01-30,14:31:40,9
2023-01-29,13:27:39,6
2023-01-27,15:22:21,45
2023-01-24,04:00:00,98
2023-01-21,16:00:02,3
2023-01-20,08:07:59,4
2023-01-18,14:09:11,64
2023-01-15,14:36:01,19
2023-01-14,19:19:04,22
2023-01-12,15:38:11,11
2023-01-10,16:30:16,89
2023-01-07,16:02:50,70
2023-01-05,15:24:13,4
2023-01-01,18:30:55,50
2023-01-01,11:27:23,3
